event_name,start_time,end_time,date,start_datetime,end_datetime
Custom theming in Shiny & R Markdown with bslib & thematic - Session 1,10:26 PM,10:30 PM,2021-01-21,2021-01-22T03:26:00Z,2021-01-22T03:30:00Z
parsermd - parsing R Markdown for fun and profit - Session 1,10:29 PM,10:34 PM,2021-01-21,2021-01-22T03:29:00Z,2021-01-22T03:34:00Z
How Content Makes the Data Go 'Round - Session 1,10:31 PM,10:35 PM,2021-01-21,2021-01-22T03:31:00Z,2021-01-22T03:35:00Z
Discussion: Data for good 2 - Session 1,10:32 PM,10:59 PM,2021-01-21,2021-01-22T03:32:00Z,2021-01-22T03:59:00Z
Designing Randomized Studies using Shiny - Session 1,10:34 PM,10:38 PM,2021-01-21,2021-01-22T03:34:00Z,2021-01-22T03:38:00Z
Discussion: Organisational tooling 2 - Session 1,10:36 PM,10:59 PM,2021-01-21,2021-01-22T03:36:00Z,2021-01-22T03:59:00Z
Discussion: Programming 2 - Session 1,10:39 PM,10:59 PM,2021-01-21,2021-01-22T03:39:00Z,2021-01-22T03:59:00Z
Maintaining the house the tidyverse built - Session 2,11:00 PM,11:33 PM,2021-01-21,2021-01-22T04:00:00Z,2021-01-22T04:33:00Z
Q&A: Hadley Wickham - Session 2,11:33 PM,12:18 AM,2021-01-21,2021-01-22T04:33:00Z,2021-01-21T05:18:00Z
Accessible Data Science Beyond Visual Models: Non-Visual Interactions with R and RStudio Packages - Session 2,1:00 AM,1:19 AM,2021-01-22,2021-01-22T06:00:00Z,2021-01-22T06:19:00Z
Always look on the bright side of plots - Session 2,1:00 AM,1:21 AM,2021-01-22,2021-01-22T06:00:00Z,2021-01-22T06:21:00Z
Bringing the Tidyverse to Python with Siuba - Session 2,1:00 AM,1:20 AM,2021-01-22,2021-01-22T06:00:00Z,2021-01-22T06:20:00Z
"A New Paradigm for Multifigure, Coordinate-Based Plotting in R - Session 2",1:19 AM,1:33 AM,2021-01-22,2021-01-22T06:19:00Z,2021-01-22T06:33:00Z
R & Python: Going Steady - Session 2,1:19 AM,1:34 AM,2021-01-22,2021-01-22T06:19:00Z,2021-01-22T06:34:00Z
Starting an R Book Club: Cooking Up Friendships in Isolation - Session 2,1:21 AM,1:21 AM,2021-01-22,2021-01-22T06:21:00Z,2021-01-22T06:21:00Z
Discussion: Learning 1 - Session 2,1:29 AM,1:59 AM,2021-01-22,2021-01-22T06:29:00Z,2021-01-22T06:59:00Z
Discussion: Visualisation 1 - Session 2,1:33 AM,1:59 AM,2021-01-22,2021-01-22T06:33:00Z,2021-01-22T06:59:00Z
Discussion: Language interop 1 - Session 2,1:34 AM,1:59 AM,2021-01-22,2021-01-22T06:34:00Z,2021-01-22T06:59:00Z
Art Lessons: One Year as RStudio’s Artist-in-Residence - Session 2,2:00 AM,2:19 AM,2021-01-22,2021-01-22T07:00:00Z,2021-01-22T07:19:00Z
Using pins with Python and JavaScript - Session 2,2:00 AM,2:19 AM,2021-01-22,2021-01-22T07:00:00Z,2021-01-22T07:19:00Z
Trial and Error in Data Viz at the ACLU - Session 2,2:00 AM,2:16 AM,2021-01-22,2021-01-22T07:00:00Z,2021-01-22T07:16:00Z
Racial Equity Dashboard: Unpacking Systemic Inequity - Session 2,2:16 AM,2:21 AM,2021-01-22,2021-01-22T07:16:00Z,2021-01-22T07:21:00Z
The dynamic duo: SQL & R - Session 2,2:19 AM,2:36 AM,2021-01-22,2021-01-22T07:19:00Z,2021-01-22T07:36:00Z
Aesthetically automated figure production - Session 2,2:19 AM,2:39 AM,2021-01-22,2021-01-22T07:19:00Z,2021-01-22T07:39:00Z
Your R is My R too:  Reflections on creating the Mi-R community - Session 2,2:20 AM,2:25 AM,2021-01-22,2021-01-22T07:20:00Z,2021-01-22T07:25:00Z
An easy and friendly way to build your multilingual website - Session 2,2:25 AM,2:30 AM,2021-01-22,2021-01-22T07:25:00Z,2021-01-22T07:30:00Z
Making .pot-ery with R: Translations in R Packages - Session 2,2:30 AM,2:35 AM,2021-01-22,2021-01-22T07:30:00Z,2021-01-22T07:35:00Z
Discussion: Visualisation 2 - Session 2,2:34 AM,2:59 AM,2021-01-22,2021-01-22T07:34:00Z,2021-01-22T07:59:00Z
Discussion: Language interop 2 - Session 2,2:37 AM,2:59 AM,2021-01-22,2021-01-22T07:37:00Z,2021-01-22T07:59:00Z
Discussion: Learning 2 - Session 2,2:38 AM,2:59 AM,2021-01-22,2021-01-22T07:38:00Z,2021-01-22T07:59:00Z
Reporting on and visualising the pandemic - Session 2,3:00 AM,3:40 AM,2021-01-22,2021-01-22T08:00:00Z,2021-01-22T08:40:00Z
Q&A: John Burn-Murdoch - Session 2,3:40 AM,4:20 AM,2021-01-22,2021-01-22T08:40:00Z,2021-01-22T09:20:00Z
oRganization: How to make internal R packages part of your team - Session 2,5:00 AM,5:19 AM,2021-01-22,2021-01-22T10:00:00Z,2021-01-22T10:19:00Z
Making the jump from learning to applying: R training and documentation for different levels of expertise - Session 2,5:00 AM,5:22 AM,2021-01-22,2021-01-22T10:00:00Z,2021-01-22T10:22:00Z
What's new in tidymodels? - Session 2,5:00 AM,5:16 AM,2021-01-22,2021-01-22T10:00:00Z,2021-01-22T10:16:00Z
Using R to Up Your Experimentation Game - Session 2,5:16 AM,5:28 AM,2021-01-22,2021-01-22T10:16:00Z,2021-01-22T10:28:00Z
You're Already Ready: Zen and the Art of R Package Development - Session 2,5:19 AM,5:34 AM,2021-01-22,2021-01-22T10:19:00Z,2021-01-22T10:34:00Z
"On programming, teaching, and building interactive tutorials with learnr:: - Session 2",5:22 AM,5:39 AM,2021-01-22,2021-01-22T10:22:00Z,2021-01-22T10:39:00Z
Discussion: Modelling 1 - Session 2,5:30 AM,6:00 AM,2021-01-22,2021-01-22T10:30:00Z,2021-01-22T11:00:00Z
Discussion: Package dev 1 - Session 2,5:34 AM,5:59 AM,2021-01-22,2021-01-22T10:34:00Z,2021-01-22T10:59:00Z
Discussion: Teaching 1 - Session 2,5:39 AM,5:59 AM,2021-01-22,2021-01-22T10:39:00Z,2021-01-22T10:59:00Z
"Fairness and Data Science: Failures, Factors, and Futures - Session 2",6:00 AM,6:23 AM,2021-01-22,2021-01-22T11:00:00Z,2021-01-22T11:23:00Z
Monitoring health and impact of open-source projects - Session 2,6:00 AM,6:20 AM,2021-01-22,2021-01-22T11:00:00Z,2021-01-22T11:20:00Z
Feedback at scale - Session 2,6:00 AM,6:20 AM,2021-01-22,2021-01-22T11:00:00Z,2021-01-22T11:20:00Z
Make a package - Make some friends - Session 2,6:20 AM,6:24 AM,2021-01-22,2021-01-22T11:20:00Z,2021-01-22T11:24:00Z
"How to do things with words: learning to program in R with a ""communicative approach"" - Session 2",6:20 AM,6:40 AM,2021-01-22,2021-01-22T11:20:00Z,2021-01-22T11:40:00Z
"tidymodels/stacks, Or, In Preparation for Pesto: A Grammar for Stacked Ensemble Modeling - Session 2",6:23 AM,6:27 AM,2021-01-22,2021-01-22T11:23:00Z,2021-01-22T11:27:00Z
Using formr to create R-powered surveys with individualized feedback - Session 2,6:25 AM,6:29 AM,2021-01-22,2021-01-22T11:25:00Z,2021-01-22T11:29:00Z
Using Guided Simulation Exercises to Teach Data Science with R - Session 2,6:27 AM,6:31 AM,2021-01-22,2021-01-22T11:27:00Z,2021-01-22T11:31:00Z
Towards an integrated {verse}: lessons learned developing a library of validated packages - Session 2,6:30 AM,6:34 AM,2021-01-22,2021-01-22T11:30:00Z,2021-01-22T11:34:00Z
How I became a Data Composer – examples of simulated datasets that bring value to a data-driven company - Session 2,6:32 AM,6:36 AM,2021-01-22,2021-01-22T11:32:00Z,2021-01-22T11:36:00Z
The Power of Great Datasets - Session 2,6:35 AM,6:39 AM,2021-01-22,2021-01-22T11:35:00Z,2021-01-22T11:39:00Z
Categorical Embeddings: New Ways to Simplify Complex Data - Session 2,6:37 AM,6:41 AM,2021-01-22,2021-01-22T11:37:00Z,2021-01-22T11:41:00Z
Discussion: Teaching 2 - Session 2,6:40 AM,6:59 AM,2021-01-22,2021-01-22T11:40:00Z,2021-01-22T11:59:00Z
Discussion: Package dev 2 - Session 2,6:40 AM,6:59 AM,2021-01-22,2021-01-22T11:40:00Z,2021-01-22T11:59:00Z
Discussion: Modelling 2 - Session 2,6:42 AM,6:59 AM,2021-01-22,2021-01-22T11:42:00Z,2021-01-22T11:59:00Z
Your Public Garden - Session 2,7:00 AM,7:40 AM,2021-01-22,2021-01-22T12:00:00Z,2021-01-22T12:40:00Z
Q&A: Vicki Boykis - Session 2,7:40 AM,8:20 AM,2021-01-22,2021-01-22T12:40:00Z,2021-01-22T13:20:00Z
Introducing xrprof: A New Way to Profile R - Session 2,9:00 AM,9:18 AM,2021-01-22,2021-01-22T14:00:00Z,2021-01-22T14:18:00Z
The Opioid Files: Turning big pharmacy data over to the public - Session 2,9:00 AM,9:18 AM,2021-01-22,2021-01-22T14:00:00Z,2021-01-22T14:18:00Z
Not The App We Deserve. The App We Need: Putting a GMP Shiny App into Production - Session 2,9:00 AM,9:20 AM,2021-01-22,2021-01-22T14:00:00Z,2021-01-22T14:20:00Z
plumber + future: Async Web APIs - Session 2,9:18 AM,9:26 AM,2021-01-22,2021-01-22T14:18:00Z,2021-01-22T14:26:00Z
rKenyaCensus Package - Session 2,9:18 AM,9:28 AM,2021-01-22,2021-01-22T14:18:00Z,2021-01-22T14:28:00Z
How we made the switch: a case study on automating a complex report. - Session 2,9:20 AM,9:32 AM,2021-01-22,2021-01-22T14:20:00Z,2021-01-22T14:32:00Z
Making Shiny apps faster with caching - Session 2,9:26 AM,9:31 AM,2021-01-22,2021-01-22T14:26:00Z,2021-01-22T14:31:00Z
Discussion: Data for good 1 - Session 2,9:29 AM,9:59 AM,2021-01-22,2021-01-22T14:29:00Z,2021-01-22T14:59:00Z
Discussion: Programming 1 - Session 2,9:31 AM,9:59 AM,2021-01-22,2021-01-22T14:31:00Z,2021-01-22T14:59:00Z
Discussion: Organisational tooling 1 - Session 2,9:33 AM,9:33 AM,2021-01-22,2021-01-22T14:33:00Z,2021-01-22T14:33:00Z
Humanitarian Data Science with R - Session 2,10:00 AM,10:20 AM,2021-01-22,2021-01-22T15:00:00Z,2021-01-22T15:20:00Z
Bigger Data With Ease Using Apache Arrow - Session 2,10:00 AM,10:19 AM,2021-01-22,2021-01-22T15:00:00Z,2021-01-22T15:19:00Z
From Zero to Hero: Best practices for setting up Rstudio Team in the Cloud - Session 2,10:00 AM,10:17 AM,2021-01-22,2021-01-22T15:00:00Z,2021-01-22T15:17:00Z
How reproducible am I? A retrospective on a year of commercial data science projects in R - Session 2,10:17 AM,10:21 AM,2021-01-22,2021-01-22T15:17:00Z,2021-01-22T15:21:00Z
Easy larger-than-RAM data manipulation with {disk.frame} - Session 2,10:19 AM,10:23 AM,2021-01-22,2021-01-22T15:19:00Z,2021-01-22T15:23:00Z
Cognitive speed: How the Tidyverse helped the British Red Cross respond quickly to COVID-19 - Session 2,10:20 AM,10:32 AM,2021-01-22,2021-01-22T15:20:00Z,2021-01-22T15:32:00Z
Lifelong Learning with R Weekly - Session 2,10:21 AM,10:26 AM,2021-01-22,2021-01-22T15:21:00Z,2021-01-22T15:26:00Z
xaringan Playground: Using xaringan to learn web development - Session 2,10:24 AM,10:28 AM,2021-01-22,2021-01-22T15:24:00Z,2021-01-22T15:28:00Z
Custom theming in Shiny & R Markdown with bslib & thematic - Session 2,10:26 AM,10:30 AM,2021-01-22,2021-01-22T15:26:00Z,2021-01-22T15:30:00Z
parsermd - parsing R Markdown for fun and profit - Session 2,10:29 AM,10:34 AM,2021-01-22,2021-01-22T15:29:00Z,2021-01-22T15:34:00Z
How Content Makes the Data Go 'Round - Session 2,10:31 AM,10:35 AM,2021-01-22,2021-01-22T15:31:00Z,2021-01-22T15:35:00Z
Discussion: Data for good 2 - Session 2,10:32 AM,10:59 AM,2021-01-22,2021-01-22T15:32:00Z,2021-01-22T15:59:00Z
Designing Randomized Studies using Shiny - Session 2,10:34 AM,10:38 AM,2021-01-22,2021-01-22T15:34:00Z,2021-01-22T15:38:00Z
Discussion: Organisational tooling 2 - Session 2,10:36 AM,10:36 AM,2021-01-22,2021-01-22T15:36:00Z,2021-01-22T15:36:00Z
Discussion: Programming 2 - Session 2,10:39 AM,10:59 AM,2021-01-22,2021-01-22T15:39:00Z,2021-01-22T15:59:00Z
